"playerID","yearID","votedBy","ballots","needed","votes","inducted","category","needed_note"
"ichirosuzuki",2025,"BBWAA",393,75,393,"Y","Player",NA
"ccsabathia",2025,"BBWAA",393,75,342,"Y","Player",NA
"billywagner",2025,"BBWAA",393,75,325,"Y","Player",NA
"carlosbeltrn",2025,"BBWAA",393,75,277,"N","Player",NA
"andruwjones",2025,"BBWAA",393,75,261,"N","Player",NA
"chaseutley",2025,"BBWAA",393,75,157,"N","Player",NA
"alexrodriguez",2025,"BBWAA",393,75,146,"N","Player",NA
"mannyramirez",2025,"BBWAA",393,75,135,"N","Player",NA
"andypettitte",2025,"BBWAA",393,75,110,"N","Player",NA
"flixhernndez",2025,"BBWAA",393,75,81,"N","Player",NA
"bobbyabreu",2025,"BBWAA",393,75,77,"N","Player",NA
"jimmyrollins",2025,"BBWAA",393,75,71,"N","Player",NA
"omarvizquel",2025,"BBWAA",393,75,70,"N","Player",NA
"dustinpedroia",2025,"BBWAA",393,75,47,"N","Player",NA
"markbuehrle",2025,"BBWAA",393,75,45,"N","Player",NA
"franciscorodrguez",2025,"BBWAA",393,75,40,"N","Player",NA
"davidwright",2025,"BBWAA",393,75,32,"N","Player",NA
"toriihunter",2025,"BBWAA",393,75,20,"N","Player",NA
"iankinsler",2025,"BBWAA",393,75,10,"N","Player",NA
"russellmartin",2025,"BBWAA",393,75,9,"N","Player",NA
"brianmccann",2025,"BBWAA",393,75,7,"N","Player",NA
"troytulowitzki",2025,"BBWAA",393,75,4,"N","Player",NA
"adamjones",2025,"BBWAA",393,75,3,"N","Player",NA
"curtisgranderson",2025,"BBWAA",393,75,3,"N","Player",NA
"carlosgonzlez",2025,"BBWAA",393,75,2,"N","Player",NA
"benzobrist",2025,"BBWAA",393,75,0,"N","Player",NA
"fernandorodney",2025,"BBWAA",393,75,0,"N","Player",NA
"hanleyramrez",2025,"BBWAA",393,75,0,"N","Player",NA
